# flight_no,dep,arr,dep_time,arr_time,price,category
RUS9040,AYAN,AYDK,0900,1000,50,tour_png
RUS9012,AYBC,AYTP,0900,1000,50,tour_png
RUS9029,AYBL,AYLE,0900,1000,50,tour_png
RUS9020,AYDE,AYSW,0900,1000,50,tour_png
RUS9041,AYDK,AYIR,0900,1000,50,tour_png
RUS9016,AYDN,AYSP,0900,1000,50,tour_png
RUS9009,AYGH,AYNH,0900,1000,50,tour_png
RUS9028,AYIL,AYBL,0900,1000,50,tour_png
RUS9042,AYIR,AYRT,0900,1000,50,tour_png
RUS9014,AYIS,AYUT,0900,1000,50,tour_png
RUS9037,AYJS,AYQU,0900,1000,50,tour_png
RUS9025,AYKC,AYSN,0900,1000,50,tour_png
RUS9030,AYLE,AYOY,0900,1000,50,tour_png
RUS9007,AYLX,AYSD,0900,1000,50,tour_png
RUS9011,AYNA,AYBC,0900,1000,50,tour_png
RUS9010,AYNH,AYNA,0900,1000,50,tour_png
RUS9001,AYNZ,AYSZ,0900,1000,50,tour_png
RUS9031,AYOY,AYTK,0900,1000,50,tour_png
RUS9022,AYQS,AYSV,0900,1000,50,tour_png
RUS9038,AYQU,AYUN,0900,1000,50,tour_png
RUS9008,AYSD,AYGH,0900,1000,50,tour_png
RUS9017,AYSP,AYYW,0900,1000,50,tour_png
RUS9023,AYSV,AYZM,0900,1000,50,tour_png
RUS9021,AYSW,AYQS,0900,1000,50,tour_png
RUS9002,AYSZ,AYOE,0900,1000,50,tour_png
RUS9013,AYTP,AYIS,0900,1000,50,tour_png
RUS9039,AYUN,AYAN,0900,1000,50,tour_png
RUS9015,AYUT,AYDN,0900,1000,50,tour_png
RUS9005,AYWS,AYLX,0900,1000,50,tour_png
RUS9019,AYYE,AYDE,0900,1000,50,tour_png
RUS9018,AYYW,AYYE,0900,1000,50,tour_png
RUS9024,AYZM,AYKC,0900,1000,50,tour_png
RUS0926,BGKK,BIRF,0930,1020,209,base
RUS0826,BGSF,BGKK,0930,1020,209,base
RUS1026,BIRF,BISL,0930,1020,178,base
RUS1126,BISL,BIHN,0930,1020,138,base
RUS0726,CYFB,BGSF,0930,1020,237,base
RUS0626,CYVP,CYFB,0930,1020,209,base
RUS0526,CYZV,CYVP,0930,1020,250,base
AURUS8,EBCI,UUEE,1448,1736,367,base
RUS0271,EDDB,LROP,0930,1020,273,base
DLH400,EDDF,KJFK,1055,1320,772,base
RUS0020,EDDF,KMSP,0930,1020,869,base
RUS0139,EDDF,RJAA,0930,1020,1155,base
AURUS6,EDDF,UUEE,1330,1600,345,base
RUS0017,EDDM,KBOS,0930,1020,770,base
RUS0036,EDDM,KDFW,0930,1020,1049,base
RUS0003,EDDP,VHHH,0930,1020,1089,base
RUS0273,EFHK,UUWW,0930,1020,235,base
RUS0264,EFTP,ULLI,0930,1020,190,base
RUS0279,EGLC,EINN,0930,1020,210,base
RUS0016,EGLL,OMDB,0930,1020,697,base
RUS0070,EGLL,UUDD,0930,1020,396,base
AURUS20,EGLL,UUEE,1436,1742,392,base
RUS0037,EGLL,UUEE,0930,1020,392,base
DAL47,EHAM,KJFK,0930,1020,735,base
DAL49,EHAM,KJFK,0930,1020,735,base
JBU2289,EHAM,KJFK,0930,1020,735,base
KLM207,EHAM,KJFK,0930,1020,735,base
KLM641,EHAM,KJFK,0930,1020,735,base
KLM643,EHAM,KJFK,0930,1020,735,base
AURUS12,EHAM,UUEE,1636,1912,356,base
AURUS4,EIDW,UUEE,1324,1648,418,base
AURUS10,ELLX,UUEE,1542,1834,361,base
RUS0280,EPWA,EHAM,0930,1020,255,base
RUS0196,EPWA,UUEE,0930,1020,261,base
RUS0269,EYKA,EKCH,0930,1020,220,base
EDW85,FACT,LSZH,1900,0630,1120,base
RUS0153,FAEL,FASZ,0930,1020,244,base
