# dep,arr,avg_price,flights_count
AYAN,AYDK,50,1
AYBC,AYTP,50,1
AYBL,AYLE,50,1
AYDE,AYSW,50,1
AYDK,AYIR,50,1
AYDN,AYSP,50,1
AYGH,AYNH,50,1
AYIL,AYBL,50,1
AYIR,AYRT,50,1
AYIS,AYUT,50,1
AYJS,AYQU,50,1
AYKC,AYSN,50,1
AYLE,AYOY,50,1
AYLX,AYSD,50,1
AYNA,AYBC,50,1
AYNH,AYNA,50,1
AYNZ,AYSZ,50,1
AYOY,AYTK,50,1
AYQS,AYSV,50,1
AYQU,AYUN,50,1
AYSD,AYGH,50,1
AYSP,AYYW,50,1
AYSV,AYZM,50,1
AYSW,AYQS,50,1
AYSZ,AYOE,50,1
AYTP,AYIS,50,1
AYUN,AYAN,50,1
AYUT,AYDN,50,1
AYWS,AYLX,50,1
AYYE,AYDE,50,1
AYYW,AYYE,50,1
AYZM,AYKC,50,1
BGKK,BIRF,209,1
BGSF,BGKK,209,1
BIRF,BISL,178,1
BISL,BIHN,138,1
CYFB,BGSF,237,1
CYVP,CYFB,209,1
CYZV,CYVP,250,1
EBCI,UUEE,367,1
EDDB,LROP,273,1
EDDF,KJFK,772,1
EDDF,KMSP,869,1
EDDF,RJAA,1155,1
EDDF,UUEE,345,1
EDDM,KBOS,770,1
EDDM,KDFW,1049,1
EDDP,VHHH,1089,1
EFHK,UUWW,235,1
EFTP,ULLI,190,1
EGLC,EINN,210,1
EGLL,OMDB,697,1
EGLL,UUDD,396,1
EGLL,UUEE,392,2
EHAM,KJFK,735,6
EHAM,UUEE,356,1
EIDW,UUEE,418,1
ELLX,UUEE,361,1
EPWA,EHAM,255,1
EPWA,UUEE,261,1
EYKA,EKCH,220,1
FACT,LSZH,1120,1
FAEL,FASZ,244,1
FAKN,FASZ,136,1
FASZ,FALA,184,1
HECA,UUEE,431,2
HEGN,ULLI,504,1
HEGN,USCC,524,1
HEGN,UUEE,462,3
HESH,UNOO,572,1
HESH,USSS,521,1
HESH,USTR,546,1
HESH,UUEE,453,2
HESH,UWKD,469,1
HESH,UWUU,482,1
HESH,UWWW,451,1
KATL,SBGR,924,1
KBOS,EDDM,770,1
KBUF,KGFL,190,1
KDFW,LEMD,979,1
KDFW,WSSS,2171,1
KFLL,MHTG,297,1
KJFK,EDDM,805,1
KJFK,UUEE,920,1
KLAX,EDDF,1148,1
KLAX,UUEE,1206,2
KORD,KBUF,222,1
KSEA,PAKT,255,1
KSLC,EGLL,959,1
KSLC,KJFK,460,6
KSLC,LFPG,1001,1
LDDU,LIEO,225,1
LDDU,LKPR,240,1
LEBL,LXGB,235,2
LEBL,UMKK,345,1
LEBL,UUEE,442,1
LEIB,LEPA,145,1
LEMD,LEIB,194,1
LEMD,UUEE,482,1
LEMH,LEBL,163,1
LEPA,LEMH,145,1
LFLB,LEBL,205,1
LFLB,LSGG,150,1
LFLJ,LFLL,155,1
LFLL,LFLB,135,1
LFLL,LFLJ,145,1
LFPG,KJFK,733,1
LFPG,UUEE,387,1
LFPO,KDFW,975,1
LFRB,LFBO,220,1
LGAV,UUEE,367,1
LIEO,LFLB,208,2
LIPZ,UUEE,352,1
LJLJ,LIMC,191,1
LKPR,LFPG,231,1
LKPR,UUEE,310,1
LLBG,URMM,299,2
LLBG,URSS,279,1
LLBG,UUDD,403,2
LLBG,UUEE,409,1
LMML,LDDU,230,1
LPPR,LEMD,191,1
LPPT,LPPR,167,1
LQSA,UUEE,334,1
LROP,LDDU,215,1
LSGG,LFLB,137,1
LSZH,LFMD,192,2
LSZH,UUEE,361,1
LSZH,VHHH,1142,2
LTAI,ULLI,396,1
LTAI,UNNT,576,3
LTAI,URMG,290,1
LTAI,URMM,277,1
LTAI,URMO,282,1
LTAI,URSS,253,6
LTAI,USSQ,464,1
LTAI,UUBW,356,1
LTAI,UUDD,356,4
LTAI,UUEE,361,5
LTAI,UUWW,356,4
LTAI,UWGG,378,1
LTAI,UWKD,392,3
LTAI,UWUU,414,2
LTAI,UWWW,378,1
LTDB,UUEE,345,1
LTFE,UUEE,363,2
LTFJ,URMM,264,1
LTFJ,URSS,238,1
LTFJ,URWW,293,1
LTFJ,USCC,425,1
LTFJ,USII,389,1
LTFJ,USPP,409,1
LTFJ,UUDD,317,2
LTFM,RJTT,1100,1
LTFM,ULLI,350,2
LTFM,UNNT,557,2
LTFM,URMG,286,1
LTFM,URML,301,1
LTFM,URMM,266,1
LTFM,URSS,242,6
LTFM,USSS,427,3
LTFM,UUDD,315,4
LTFM,UUEE,319,5
LTFM,UUWW,315,1
LTFM,UWUU,389,1
MMMX,UUEE,1335,1
MUHA,UUEE,1181,1
MUVR,UUEE,1175,1
MYNN,TXKF,295,2
NFFN,NSFA,260,4
NSFA,NTAA,385,4
NTAA,NTGJ,310,4
NTGJ,SCIP,400,4
NWWW,NFFN,270,4
OIIE,VHHH,770,1
OMAA,UUEE,517,1
OMDB,UMMS,530,1
OMDB,UNNT,539,2
OMDB,UUDD,504,4
OMDB,UUEE,510,3
OMDB,WMKK,702,1
OMDB,ZSPD,801,1
OMDW,ULLI,574,1
OMDW,URKK,407,1
OMDW,URMG,365,1
